run,seed,gen,evals,best_so_far,pop_best,pop_mean,feasible_frac
0,2000,0,100,515.5,515.5,438.526,1
0,2000,2,296,523.2,523.2,488.776,1
0,2000,4,492,523.2,523.2,505.891,1
0,2000,6,688,523.2,523.2,512.091,1
0,2000,8,884,523.2,523.2,512.677,1
0,2000,10,1080,523.2,523.2,513.226,1
0,2000,12,1276,523.2,523.2,510.083,1
0,2000,14,1472,523.2,523.2,509.542,1
0,2000,16,1668,523.2,523.2,508.487,1
0,2000,18,1864,523.2,523.2,509.754,1
0,2000,20,2060,523.2,523.2,510.101,1
0,2000,22,2256,523.2,523.2,509.238,1
0,2000,24,2452,523.2,523.2,508.037,1
0,2000,26,2648,523.2,523.2,506.96,1
0,2000,28,2844,523.2,523.2,513.814,1
0,2000,30,3040,523.2,523.2,509.416,1
0,2000,32,3236,523.2,523.2,508.651,1
0,2000,34,3432,523.2,523.2,508.647,1
0,2000,36,3628,523.2,523.2,510.895,1
0,2000,38,3824,523.2,523.2,508.088,1
0,2000,40,4020,523.2,523.2,510.745,1
0,2000,42,4216,523.2,523.2,512.142,1
0,2000,44,4412,523.2,523.2,509.058,1
0,2000,46,4608,523.2,523.2,508.975,1
0,2000,48,4804,523.2,523.2,512.547,1
0,2000,50,5000,523.2,523.2,510.85,1
0,2000,52,5196,523.2,523.2,511.059,1
0,2000,54,5392,523.2,523.2,510.668,1
0,2000,56,5588,523.2,523.2,512.392,1
0,2000,58,5784,523.2,523.2,513.022,1
0,2000,60,5980,523.2,523.2,511.985,1
0,2000,62,6176,523.2,523.2,511.453,1
0,2000,64,6372,523.2,523.2,510.734,1
0,2000,66,6568,523.2,523.2,512.72,1
0,2000,68,6764,523.2,523.2,514.221,1
0,2000,70,6960,523.2,523.2,515.304,1
0,2000,72,7156,523.2,523.2,509.51,1
0,2000,74,7352,523.2,523.2,508.345,1
0,2000,76,7548,523.2,523.2,514.168,1
0,2000,78,7744,523.2,523.2,510.639,1
0,2000,80,7940,523.2,523.2,513.569,1
0,2000,82,8136,523.2,523.2,514.441,1
0,2000,84,8332,523.2,523.2,511.753,1
0,2000,86,8528,523.2,523.2,511.244,1
0,2000,88,8724,523.2,523.2,511.059,1
0,2000,90,8920,523.2,523.2,513.188,1
0,2000,92,9116,523.2,523.2,511.773,1
0,2000,94,9312,523.2,523.2,513.425,1
0,2000,96,9508,523.2,523.2,508.184,1
0,2000,98,9704,523.2,523.2,508.327,1
0,2000,100,9900,523.2,523.2,511.452,1
0,2000,102,10096,523.2,523.2,511.852,1
0,2000,104,10292,523.2,523.2,507.42,1
0,2000,106,10488,523.2,523.2,513.095,1
0,2000,108,10684,523.2,523.2,510.502,1
0,2000,110,10880,523.2,523.2,511.74,1
