i,water,deficit,wet,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30
33,159.276,1.1957,21.8994,2.57144,0.340209,9.62873,5.15821,1.82966,9.42915,6.15973,1.41747,13.8811,5.5073,4.61192,5.1179,12.0627,4.31149,5.68251,4.29858,2.09831,13.7632,0.999714,6.94733,0,9.97832,1.32866,3.1169,6.68289,5.81064,1.00403,6.55253,6.28157,2.70398
34,95.0354,158.909,3.73941,0.398241,0.555191,6.66154,0,0.597521,4.54775,5.78246,1.81531,10.9907,0.0192392,3.43248,1.08657,0.749904,0.651132,1.20383,1.68689,0.384467,13.8559,1.23778,1.3254,4.5909e-06,7.9322,3.5077,2.56993,0.832415,1.03903,0.180983,7.24317,11.6021,3.14554
35,151.88,9.49274,18.0535,0.643349,0.923052,14.9234,3.70386,2.21299,8.10369,5.80189,0.000422717,14.1212,5.52941,4.23906,2.91141,12.2159,5.54946,3.18276,3.7837,0.50249,12.8317,1.14819,3.28647,0,11.2127,2.64435,2.98713,6.92994,2.82503,0.981671,3.5829,9.15474,5.94663
36,136.794,31.2468,13.0699,1.04006,0.545167,8.77776,4.16184,1.88203,10.2099,5.20041,0.0924154,11.3788,6.18127,6.27231,1.74156,11.4066,4.78526,2.684,3.41061,1.169,9.19983,1.1434,3.35648,3.70831e-08,11.7342,2.20899,3.87712,6.08894,2.83832,1.50334,4.79383,3.36891,5.74184
37,114.27,95.3208,6.401,0.896567,3.6563,10.4765,0.309158,1.32188,5.15906,4.42227,0.378375,9.89377,2.65681,3.41862,0.467201,8.52454,4.89505,2.97088,0.954506,1.66514,12.3696,0.843985,1.28423,0.390638,7.9566,0.0398129,0.38641,2.58297,1.15641,0,4.33437,14.7437,6.11503
38,64.7618,265.114,2.23591,0.229251,0.00800189,0,0.0907735,1.06601,4.69812,1.36019,0.668449,4.87112,1.52993,4.06852,0.175992,2.94824,3.67663,0.951814,1.70068,0.746429,12.3391,1.22789,0,0.124429,4.06096,0.163813,0.657133,1.35262,0.294961,0.466889,4.10535,7.84247,3.33597
39,79.123,212.304,2.23576,0,0.0170956,0.46366,0.382583,0.0799556,4.04393,1.42604,0.669082,4.25774,6.92629,5.52903,1.05216,2.80019,3.82399,0.0570374,2.65508,6.06115,12.5176,1.3949,0,0.127802,3.54266,0.0238227,1.62682,1.20361,0.475429,1.00917,4.12876,9.59527,3.23214
40,139.014,26.121,13.9112,1.03831,1.53845,8.74507,4.29864,1.89375,10.205,5.19827,0.0909182,11.5457,6.17958,6.15008,1.53956,11.5141,4.75136,2.75729,3.46717,1.12002,10.1683,1.19599,3.35648,0,11.6954,2.17575,3.81304,6.32936,2.83832,1.46624,4.82103,3.37965,5.74166
41,114.721,97.1003,6.24605,0.969825,3.47828,10.6095,0.309158,1.32251,4.69071,4.43494,0.254097,9.89094,2.66347,3.28873,0.577136,8.32543,4.88357,2.96949,1.0276,1.81202,12.3696,0.813608,1.27375,0.38712,7.96657,0.0813371,0.441112,2.56925,1.20198,0.1514,4.42382,15.2758,6.2582
42,74.1726,230.301,2.24941,0.000134433,0,0.799198,0,0.25827,3.62847,1.18629,0.648677,4.30787,6.94563,4.47645,1.0822,2.80019,3.74742,0.030849,1.75247,4.44521,12.5547,1.3949,0.0744992,0.126581,3.48072,0.0282763,0.63632,1.24276,0.474157,0.999868,4.13123,9.70697,3.21227
