i,water,deficit,wet,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30
0,186.296,7.79534,31.0465,0.571027,11.5142,0.982933,2.16545,5.1914,1.94957,2.58843,9.24879,9.50751,4.58651,0.646492,21.9636,0.955475,3.07462,9.22915,4.30284,0.697539,3.18952,6.66451,15.8374,13.4417,4.77964,0.0251668,3.61586,0.997851,16.667,1.52586,9.90988,3.25845,17.2077
1,181.696,0,37.8567,13.5731,2.82157,2.07885,6.09205,1.37903,3.68495,20.9337,1.63402,4.20388,17.0397,17.6952,3.36467,8.25123,2.58543,4.60489,6.37332,6.65052,12.7538,1.56889,6.60168,1.71915,18.5884,0.0809347,0.25531,0.259178,0.0158299,2.02369,0.837167,13.0586,0.967514
